,timestamp,tvl usd value,liqw,date
42,1690056000,4252763.346446135421434876023368791,1541383319452,2023-07-22 23:00:00
43,1690052400,4253638.284385927905615668384892887,1541383319452,2023-07-22 22:00:00
44,1690048800,4255814.425676644499238378650724366,1544441483125,2023-07-22 21:00:00
45,1690045200,4253544.336151648410300960505382078,1541383319452,2023-07-22 20:00:00
46,1690041600,4256989.549214224802431651786461229,1541506871933,2023-07-22 19:00:00
47,1690038000,4258560.482475892927768952278046458,1543548816341,2023-07-22 18:00:00
48,1690034400,4258005.106316511412867529079125084,1541506871933,2023-07-22 17:00:00
49,1690030800,4259202.638677920588018578107152407,1541506871933,2023-07-22 16:00:00
50,1690027200,4259519.607564405630207056358247837,1543548816305,2023-07-22 15:00:00
51,1690023600,4260000.877483504487677448984138883,1551860398331,2023-07-22 14:00:00
52,1690020000,4260991.292120572304787048377069671,1551860398331,2023-07-22 13:00:00
53,1690016400,4260097.18900965557369234659800084,1551858035578,2023-07-22 12:00:00
54,1690012800,4259771.833543292875818908014090013,1549816091203,2023-07-22 11:00:00
55,1690009200,4260120.032720864272679580578210538,1551837066510,2023-07-22 10:00:00
56,1690005600,4254515.569030965943031645260424003,1549795126693,2023-07-22 09:00:00
57,1690002000,4253778.458419521629335032854334909,1549795126693,2023-07-22 08:00:00
58,1689998400,4255012.26655044786738396888680857,1549795126693,2023-07-22 07:00:00
59,1689994800,4255860.789511407531351422418627115,1549795126693,2023-07-22 06:00:00
60,1689991200,4257843.309385811572345231239109649,1548038914577,2023-07-22 05:00:00
61,1689987600,4256974.960090257196280574267219408,1547886040424,2023-07-22 04:00:00
62,1689984000,4279555.522089425935815044436149002,1553554784559,2023-07-22 03:00:00
63,1689980400,4277714.257370372154023054637514068,1553954731654,2023-07-22 02:00:00
64,1689976800,4277346.795987240830933204588117743,1553312147831,2023-07-22 01:00:00
65,1689973200,4276613.120117575806953364507091004,1553312147831,2023-07-22 00:00:00
66,1689969600,4274500.325501130563974690566366081,1553924287235,2023-07-21 23:00:00
67,1689966000,4275598.682681970269966185273911467,1554317824412,2023-07-21 22:00:00
68,1689962400,4283150.096362264596229634478734678,1554533714878,2023-07-21 21:00:00
69,1689958800,4244334.802055570856269869559883433,1550622161250,2023-07-21 20:00:00
70,1689955200,4274673.414540616737882887810852196,1554149707390,2023-07-21 19:00:00
71,1689951600,4273979.544896925654145572995926134,1554820728862,2023-07-21 18:00:00
72,1689948000,4273852.819516098614786131126032706,1386532597738,2023-07-21 17:00:00
73,1689944400,4271679.646969944694911771917645816,1385857511821,2023-07-21 16:00:00
74,1689940800,4272033.833960962693562233806936862,1386541341389,2023-07-21 15:00:00
75,1689937200,4273379.273822425832276234235336736,1386541331528,2023-07-21 14:00:00
76,1689933600,4272984.670613547473618793930784962,1386506966244,2023-07-21 13:00:00
77,1689930000,4273278.916921045806820791164442655,1386471556332,2023-07-21 12:00:00
78,1689926400,4273277.431362372386393666985639101,1385787736621,2023-07-21 11:00:00
79,1689922800,4274292.480454838917663776633002414,1386471556341,2023-07-21 10:00:00
80,1689919200,4276279.250145130393741328204263159,1385787736621,2023-07-21 09:00:00
81,1689915600,4275635.948808088667735098445904725,1385787736621,2023-07-21 08:00:00
82,1689912000,4275595.123703775331338933891925846,1385778825729,2023-07-21 07:00:00
83,1689904800,4274228.288196029961423146988454641,1386462476346,2023-07-21 05:00:00
84,1689901200,4269392.355580049086133980490943211,1386462414061,2023-07-21 04:00:00
85,1689897600,4267951.028527609275221535508406953,1385778825729,2023-07-21 03:00:00
86,1689894000,4269978.17536810811792730374647642,1386462414062,2023-07-21 02:00:00
87,1689890400,4268764.062747122870132170277563925,1386423102139,2023-07-21 01:00:00
88,1689886800,4268415.395592996587585054928613648,1386423025556,2023-07-21 00:00:00
89,1689883200,4255793.815396621358222516530474347,1026522757073,2023-07-20 23:00:00
90,1689879600,4253509.650798340695333449848556126,1024765912903,2023-07-20 22:00:00
91,1689876000,4242365.513846888323705666135760936,997567258099,2023-07-20 21:00:00
92,1689872400,4241152.832273662582889896309592874,1351946718246,2023-07-20 20:00:00
93,1689868800,4244833.69452546518554582445123122,1352715427944,2023-07-20 19:00:00
94,1689865200,4251588.032951377885856794426018075,1352923066677,2023-07-20 18:00:00
95,1689861600,4251077.041366413565764245642182489,1011234973304,2023-07-20 17:00:00
96,1689858000,4287088.23967587317563991795561561,1322272826111,2023-07-20 16:00:00
97,1689854400,4279175.400757113268198826555990722,1319193882191,2023-07-20 15:00:00
98,1689850800,4278623.007993386090994448030906027,1322231054583,2023-07-20 14:00:00
99,1689847200,4280332.293010830810519435230252233,1321257521474,2023-07-20 13:00:00
100,1689843600,4277970.34496342551257678462641048,1321251357996,2023-07-20 12:00:00
101,1689840000,4274967.795503799117575618871603808,1321416531533,2023-07-20 11:00:00
102,1689836400,4269810.017656480735574307901792317,1322643676113,2023-07-20 10:00:00
103,1689832800,4261146.515130523731155050042448681,1320631592085,2023-07-20 09:00:00
104,1689829200,4260587.52199733213949583873706474,1321149646806,2023-07-20 08:00:00
105,1689825600,4247340.90023112908632938778792375,1354141773259,2023-07-20 07:00:00
106,1689822000,4220421.913341884615673958946261434,1326109540002,2023-07-20 06:00:00
107,1689818400,4220116.504959842568747423644682386,1326109540002,2023-07-20 05:00:00
108,1689814800,4220881.671052798372377566940693406,1327361176921,2023-07-20 04:00:00
109,1689811200,4173083.580833160150602921608775472,1331524616317,2023-07-20 03:00:00
110,1689807600,4227574.401678437576866595372193141,1322789910478,2023-07-20 02:00:00
111,1689804000,4227203.921298752860158870357808242,1321562872936,2023-07-20 01:00:00
112,1689800400,4229040.509484713884528473838333564,1321373631662,2023-07-20 00:00:00
113,1689796800,4205521.129281187253769884102841231,1311701683864,2023-07-19 23:00:00
114,1689793200,4205387.073774856212192836659609309,1312780068382,2023-07-19 22:00:00
115,1689789600,4206107.107337592981609112003234252,1312780068857,2023-07-19 21:00:00
116,1689786000,4201001.669924254906858004256440389,1311553456455,2023-07-19 20:00:00
117,1689782400,4193065.000239721095290397594980011,1311496884215,2023-07-19 19:00:00
118,1689778800,4195505.562843792463726814556461109,1312463141323,2023-07-19 18:00:00
119,1689775200,4193196.643098142214479333589035925,1311512948036,2023-07-19 17:00:00
120,1689771600,4207769.148267289684971845539912716,1311527462368,2023-07-19 16:00:00
121,1689768000,4197665.696160353400518987676752378,1300854214733,2023-07-19 15:00:00
122,1689764400,4196362.401664586920003075040657616,1299487346510,2023-07-19 14:00:00
123,1689760800,4196313.811086053575715413175060531,1299413551211,2023-07-19 13:00:00
124,1689757200,4195614.197159694538021645293943608,1299349342310,2023-07-19 12:00:00
125,1689753600,4220779.720977059552255413754713834,1528778776360,2023-07-19 11:00:00
126,1689750000,4224474.70001765988043066452857676,1532760342104,2023-07-19 10:00:00
