['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000']
[143, '2023-07-23', '10:03:20', '1690106600.191328', 3.345517e-05, 0.07966228286171884, 0.25995974258424326, 0.4254127389570215]
[144, '2023-07-23', '10:23:20', '1690107800.527474', 3.3463930000000005e-05, 0.07564275333602666, 0.29006210193978177, 0.43423338735206585]
[145, '2023-07-23', '11:05:49', '1690110349.030843', 3.345639e-05, 0.09815743268300992, 0.31252846891317176, 0.4566672700508292]
[146, '2023-07-23', '11:26:11', '1690111571.662858', 3.345968e-05, 0.12094257597776448, 0.32433731170381463, 0.4387769927607508]
[147, '2023-07-23', '12:08:23', '1690114103.365835', 3.345924e-05, 0.12225600112905965, 0.3256480621826796, 0.44008623833998683]
[148, '2023-07-23', '12:28:56', '1690115336.632151', 3.3459e-05, 0.17741444055198485, 0.3625274552471751, 0.47912020770111496]
[149, '2023-07-23', '13:11:10', '1690117870.295301', 3.348808e-05, 0.09065629511820816, 0.27593019586699086, 0.39262428181092446]
[150, '2023-07-23', '13:31:33', '1690119093.035044', 3.349478e-05, 0.09237139113272974, 0.2957910958808725, 0.3864630122292141]
[151, '2023-07-23', '14:14:04', '1690121644.043352', 3.348612e-05, 0.11820228370025632, 0.3215693947414735, 0.4122178680698738]
[152, '2023-07-23', '14:34:06', '1690122846.260833', 3.349838e-05, 0.0619234334564851, 0.25970250082737323, 0.36059944074467865]
[153, '2023-07-23', '15:17:08', '1690125428.191354', 3.348463e-05, 0.10294477695995852, 0.3006426624296239, 0.401498187421069]
[154, '2023-07-23', '15:36:48', '1690126608.024619', 3.34769e-05, 0.09148802302661352, 0.2960782278764924, 0.3061315991066351]
[155, '2023-07-23', '16:20:15', '1690129215.36745', 3.3437139999999995e-05, 0.2101478283312872, 0.41449504453694885, 0.424536475532463]
[156, '2023-07-23', '16:39:22', '1690130362.181821', 3.342154e-05, 0.03488328695139842, 0.2619943261149871, 0.38568535651367597]
[157, '2023-07-23', '17:23:29', '1690133009.823356', 3.338548e-05, 0.14274013940858765, 0.3696061382756568, 0.493163712868423]
[158, '2023-07-23', '18:26:56', '1690136816.458762', 3.322333e-05, 0.12938051173372855, 0.3904524757804211, 0.4401048254824218]
[159, '2023-07-23', '18:44:32', '1690137872.54919', 3.318208e-05, -0.28579054234924683, 0.0242676028087061, 0.5637181320338271]
[160, '2023-07-23', '19:30:10', '1690140610.518417', 3.315965e-05, -0.21800063038875805, 0.09184792561153188, 0.33089000935042634]
[161, '2023-07-23', '19:46:48', '1690141608.745733', 3.326639e-05, -0.043750357987676125, 0.20425548893032897, 0.010057889578277468]
[162, '2023-07-23', '20:33:29', '1690144409.972151', 3.3223759999999996e-05, 0.08445306528011542, 0.3321410992567735, 0.4565619452552738]
[163, '2023-07-23', '20:49:25', '1690145365.772796', 3.321458e-05, 0.2360292511240374, 0.25321648554360365, 0.4840666214671927]
[164, '2023-07-23', '21:36:37', '1690148197.558609', 3.333698e-05, -0.13161381465197053, -0.1143632430626127, 0.3632798778138664]
[165, '2023-07-23', '21:52:05', '1690149125.136812', 3.338647e-05, 0.036649917856408365, 0.2320909976545238, 0.21536542129000225]
[166, '2023-07-23', '22:39:51', '1690151991.922083', 3.33457e-05, 0.15872049862908, 0.35392291489600325, 0.40078674588117735]
[167, '2023-07-24', '02:02:16', '1690164136.919282', 3.347216e-05, 0.43667198483561265, 0.5963350947929911, 0.370107169844232]
[168, '2023-07-24', '02:51:01', '1690167061.063839', 3.3583429999999996e-05, 0.10569807970827583, 0.26589195057994175, 0.4267761319718204]
[169, '2023-07-24', '03:04:56', '1690167896.759292', 3.360285e-05, 0.26931471283511144, 0.42157809403626345, 0.3691967838374097]
[170, '2023-07-24', '03:53:33', '1690170813.962475', 3.367669e-05, 0.050163247956248824, 0.2027612176839142, 0.42607027190405233]
[171, '2023-07-24', '04:07:46', '1690171666.922602', 3.3719689999999994e-05, -0.22672611477963756, 0.06833527566674036, 0.2989295410808239]
[172, '2023-07-24', '04:56:07', '1690174567.307724', 3.3584099999999996e-05, 0.17629484401039974, 0.47016976524751897, 0.456404622841319]
[173, '2023-07-24', '05:10:40', '1690175440.127306', 3.358587e-05, 0.059590138942240856, 0.29411538911158175, 0.4511583258192928]
[174, '2023-07-24', '05:58:40', '1690178320.671337', 3.359159e-05, 0.04256931606627745, 0.2771345081644938, 0.5038603627657778]
[175, '2023-07-24', '06:13:46', '1690179226.055314', 3.359471e-05, 0.20961004573145203, 0.4156890150556478, 0.49461912245328676]
[176, '2023-07-24', '07:01:12', '1690182072.207174', 3.3613200000000005e-05, 0.15468698462289865, 0.36087937657055136, 0.4484630903452995]
[177, '2023-07-24', '07:16:55', '1690183015.444019', 3.3636609999999996e-05, -0.1925982794386698, 0.11834644793731286, 0.3791301652130983]
[178, '2023-07-24', '08:03:42', '1690185822.139698', 3.3553199999999996e-05, 0.05585317338275786, 0.36602683911755207, 0.45007662466970544]
[179, '2023-07-24', '08:20:12', '1690186812.559278', 3.356022e-05, 0.22587809332830489, 0.43307117240104276, 0.4292487911964571]
[180, '2023-07-24', '09:06:14', '1690189574.247875', 3.36164e-05, 0.05885564327533643, 0.2663955647460625, 0.45328553768608515]
[181, '2023-07-24', '09:23:41', '1690190621.00791', 3.361568e-05, 2.0180235387500147, 0.3868500583471075, 0.4554176408979913]
[182, '2023-07-24', '10:08:47', '1690193327.223297', 3.414023e-05, 0.4890809217109222, -1.1675459200145752, 0.6220880506761404]
[183, '2023-07-24', '10:27:05', '1690194425.183332', 3.414907e-05, 0.06922245697865037, 0.3969062419062084, 0.5963559234575229]
