['N', 'date', 'time', 'timestamp','1000','50 000','100 000','200 000','300 000','400 000','500 000'
[78,'2023-07-30','14:56:15',1690728975.404280,3.401191E-05,0.2355283143477890,0.24349953956499300,0.40752512857626800,0.4939050887903140,0.5928670454187570,0.7390433207532681]
[79,'2023-07-30','15:35:55',1690731355.467310,3.402169E-05,0.10124215614949600,0.4422255472112650,0.37888767762915200,0.46529247608401600,0.5642828888601910,0.7105011966466463]
[80,'2023-07-30','16:15:53',1690733753.563290,3.405735E-05,0.2428627968430420,0.3378735812452480,0.36357501116349100,0.4321978398904070,0.5528164292411330,0.6843621925148398]
[81,'2023-07-30','17:00:33',1690736433.411280,3.407253E-05,0.1983991687937850,0.2591252325649410,0.30713042655448000,0.3994913519264150,0.5191678818271160,0.6420272820711546]
[82,'2023-07-30','17:41:06',1690738866.455270,3.407037E-05,0.13560833300236700,0.20534424015271200,0.31013962926063200,0.34686033298989100,0.46465113109449900,0.6703680269835814]
[83,'2023-07-30','18:26:13',1690741573.867290,3.405809E-05,0.06503589949727480,0.14384549192317300,0.2776966593955730,0.3975550691230150,0.5238652702039560,0.6385322489969383]
[84,'2023-07-30','19:10:30',1690744230.663270,3.407051E-05,0.11041225736136100,0.21167344152971200,0.3173687137809940,0.3612329393135810,0.4875892020702400,0.6022979965926538]
[85,'2023-07-30','19:53:23',1690746803.663300,3.437679E-05,-0.7458810253420720,-0.05276107666821870,0.24620566118501600,-0.4526027583143420,-0.3186140044800110,-0.19906195336896815]
[86,'2023-07-30','20:37:28',1690749448.034580,3.428306E-05,0.13881853805945400,0.11760073614567500,0.518189262428109,0.6006841808517150,0.6985858767517070,0.9254700285376316]
[87,'2023-07-31','03:35:44',1690774544.879270,3.400743E-05,0.07275464787896620,0.1448182795502650,0.25217194504837400,0.3574167212462670,0.4695378059592910,0.5784140076449802]
[88,'2023-07-31','04:24:37',1690777477.431830,3.405603E-05,0.12093521071086900,0.14731454024139600,0.14076310540124800,0.4021561604007640,0.3812263426462580,0.6312332323778804]
[89,'2023-07-31','05:13:31',1690780411.427170,3.405013E-05,0.08414789970962030,0.16461341049178200,0.26267269981364900,0.35822588091765800,0.48874663204738100,0.6484482666590168]
[90,'2023-07-31','06:02:04',1690783324.681000,3.405434E-05,0.05902603959056310,0.07751617473556390,0.24246004652499700,0.33750716151786300,0.4492729095510560,0.5725274168445083]
[91,'2023-07-31','06:48:18',1690786098.491330,3.403109E-05,0.12725897684848100,0.14573648817983600,0.25639908345864600,0.40554997070150000,0.5172394126414870,0.6325177417993473]
[92,'2023-07-31','07:34:16',1690788856.759300,3.40341E-05,0.1204408830550390,0.13724178874618100,0.2648399699567530,0.41045166209836700,0.5258572839484540,0.6325695568772289]
[93,'2023-07-31','08:21:15',1690791675.20759,3.404846E-05,0.07829872360554190,0.11759931845027400,0.222758736780861,0.35733106530183500,0.466336742132043,0.5831096753122296]
