['N', 'date', 'time', 'timestamp','1000','50 000','100 000','200 000','300 000','400 000','500 000','600 000','700 000','800 000','900 000','1 000 000','1 500 000'
[27,'2023-07-28','20:51:21',1690577481.115290,3.412888E-05,0.06897253284640220,0.14069593118003400,0.28572306332952700,0.399465337990776,0.5258973895578830,0.6583697943731721],0.8023588113427420,0.91163029629314,1.0455546497402000,1.2007686019260000,1.3565521580664100,2.227278309406730
[28,'2023-07-28','21:11:53',1690578713.298980,3.412986E-05,0.07069507619564770,0.14263745032475600,0.27972746854881300,0.3966053401247930,0.5230410221482910,0.6555172308668062],0.7812726499677330,0.9209500167435610,1.0466683655723000,1.2125039158510300,1.3642477378271400,2.402749888053760
[29,'2023-07-28','21:31:21',1690579881.507300,3.411305E-05,0.07888990454389960,0.1498829636461780,0.291422319190346,0.4456196719073940,0.5724168990845870,0.7041298429957976],0.7596101394560580,0.8911445678811280,1.0198081017616000,1.2480763910989800,1.3132622358342900,2.656190517738070
[30,'2023-07-28','21:52:44',1690581164.972660,3.412468E-05,0.04482427539581120,0.11584153782430900,0.2833797594650350,0.38406242499269200,0.511801827843172,0.6437753267651374],0.8041111915646580,0.9769405237740470,1.1290318185394000,1.2789662565668900,1.4381305518973900,2.686639921346140
[31,'2023-07-28','22:10:58',1690582258.899310,3.413342E-05,0.04516229223631290,0.12098634130256900,0.25784037679824200,0.4195637927799250,0.5468457621125110,0.6803081525205954],0.8056070883879160,0.9522869097692420,1.0977704505432700,1.2623461599661600,1.4241246454031300,2.6749146511560200
[32,'2023-07-29','02:35:45',1690598145.031310,3.40781E-05,0.09167920398367360,0.1581120187011040,0.2941295529332560,0.4185193752582000,0.5430442417609240,0.6851524071159361],0.8102491091900820,0.9688895683331960,1.1015626195992900,1.2650280028688500,1.4328474981328600,2.6781270902227300
[33,'2023-07-29','03:20:53',1690600853.59531,3.407302E-05,0.08705760002818860,0.15222198450443600,0.2899492420011850,0.4139054186271240,0.5366880028695530,0.6654885928407737],0.748295519869032,0.9519329899244580,1.0526283400550100,1.2000174929871400,1.4191645157967100,2.596389369046800
[34,'2023-07-29','04:10:20',1690603820.16328,3.406892E-05,0.10197310985928700,0.11861283392909200,0.30579598733442000,0.4258885944003340,0.5096999707584900,0.6791392103828855],0.802777834438757,1.00630352162095,1.1069435969754100,1.2542518434663200,1.473278569731900,3.046056220428430
[35,'2023-07-29','04:54:48',1690606488.475280,3.405707E-05,0.0739950296531049,0.1849963261196310,0.282974184812133,0.45987412456933900,0.5388946365887360,0.6445557784684581],0.797614804870264,0.9725639112831600,1.1310467909240500,1.245067236344260,1.4340152267482300,2.652248022141140
[36,'2023-07-29','05:40:52',1690609252.447310,3.407365E-05,0.0656281749850649,0.13640339781099400,0.2611462764303530,0.41141501499197400,0.4904739965593730,0.6126643186264431],0.7807655866886310,0.8958732325391880,1.0605817972720600,1.2470592573466800,1.35986389750434,2.605023062662580
[37,'2023-07-29','06:26:10',1690611970.047310,3.407968E-05,0.047942829795871900,0.162874608751153,0.2434955320001540,0.4155634052629440,0.4983095389445820,0.6647371838780884],0.8148669033300850,1.0517004446762900,1.1134418332295200,1.240235293101580,1.4813920084177900,2.649598386568880
[38,'2023-07-29','06:28:12',1690612092.694100,3.407968E-05,0.1043995039386370,0.17202472528995800,0.3026178919265870,0.4249847793134480,0.544055027483239,0.6726106510497516],0.5658086998240750,0.9299188905735180,0.8593007543431950,1.2396772702538900,1.1603843201035900,2.6473667355132900
[39,'2023-07-29','07:14:14',1690614854.038030,3.409521E-05,0.05887740174449620,0.12653343969057600,0.25718611721103500,0.37960876679288400,0.49873327488981500,0.6273474808383952],0.9864978406880170,0.9924147735522130,1.2787481802733500,1.3321180168322300,1.5785579127079100,2.453147968407010
[40,'2023-07-29','07:57:53',1690617473.675240,3.413676E-05,-0.0463029162631301,0.16755632279615900,0.15421174444041700,0.40603805585649900,0.5091291741868110,0.6552105141278872],0.8857884373631320,0.9639455054777390,1.1406962629956200,1.3037464291796800,1.4086677199302900,2.4250987288062600
