['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[44, '2023-07-21', '03:58:17', '1689911897.855338', 0.0005273928184983832, 0.03981089403750104, 0.13808595845159743, 0.3030750303651786, 0.2707301522837753, 0.4344974622142814]
[45, '2023-07-21', '04:32:11', '1689913931.025209', 0.0005281492595425205, -0.06143195283057423, 0.04238083785021729, 0.1600794426815355, 0.1791701781017423, 0.29169037410456156]
[46, '2023-07-21', '05:01:00', '1689915660.838522', 0.0005278179322648407, 0.0013402299390889993, 0.10508789507308336, 0.2862897499610426, 0.2417914223864983, 0.4746920929983389]
[47, '2023-07-21', '05:34:52', '1689917692.782721', 0.000528540363014305, 0.08790651644095249, 0.18819806227368474, 0.14981039595596712, 0.32183518242536024, 0.3384706075452186]
[48, '2023-07-21', '06:03:38', '1689919418.362598', 0.0005287318733726251, 0.05170454935856128, 0.1520324346484756, 0.15639234161787385, 0.2857179766323412, 0.29374596653090634]
[49, '2023-07-21', '06:37:28', '1689921448.752501', 0.0005285233609170713, 0.05229290741900172, 0.1528931521540926, 0.19576699794679087, 0.28216729736864465, 0.33306645562866777]
[50, '2023-07-21', '07:06:13', '1689923173.963559', 0.0005286570666706448, 0.027008152793243312, 0.12763384736184946, 0.30103447792927795, 0.2569406963285701, 0.5629004570046447]
[51, '2023-07-21', '07:40:03', '1689925203.187424', 0.0005297828680933043, -0.01210097742647065, 0.1168975974933204, 0.08872058996917076, 0.2753775914113703, 0.3511442256245374]
[52, '2023-07-21', '08:08:45', '1689926925.577214', 0.00052957956390517, 0.026278668684028617, 0.15522774039763476, 0.10683683320574744, 0.3136469176142924, 0.2571165642515325]
[53, '2023-07-21', '08:42:40', '1689928960.168841', 0.0005288554400624249, 0.056288388253108224, 0.16010302986791203, 0.24342635838095816, 0.30427692716077104, 0.39350060352103355]
[54, '2023-07-21', '09:11:31', '1689930691.795297', 0.0005288520566497302, 0.05692778949021715, 0.1607417669390685, 0.2349687407273251, 0.304914741863044, 0.3803915268715201]
[55, '2023-07-21', '09:45:21', '1689932721.025629', 0.0005292341346245848, 0.2288976628297803, 0.3353430054916515, 0.1628918325910007, 0.5092510426197236, 0.30841968184864754]
[56, '2023-07-21', '10:14:48', '1689934488.259313', 0.0005301254539200796, 0.06086634582301542, 0.1674909603451482, 0.15535646181477603, 0.3416918878576354, 0.310244022776061]
[57, '2023-07-21', '10:47:57', '1689936477.816722', 0.0005297301557656071, 0.08629430792446158, 0.19980840485966667, 0.22980752435620388, 0.3406935857197908, 0.3845795904538818]
[58, '2023-07-21', '11:18:21', '1689938301.9483', 0.0005299933151238922, 0.03665917504098104, 0.15022966351170908, 0.25713055039960864, 0.2911848333150431, 0.4012500102938361]
[59, '2023-07-21', '12:21:35', '1689942095.56054', 0.0005295188545525553, 0.029627679826901954, 0.14400473309906658, 0.34642235366467844, 0.28573212350656263, 0.4904127949480426]
