['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[65, '2023-07-21', '15:30:41', '1689953441.719846', 0.0005282930751265216, -0.0317552345565133, -0.13492538295807321, -0.18646169066570906, -0.2617493414283274, -0.31747814024888044]
[66, '2023-07-21', '16:01:03', '1689955263.42333', 0.0005284179085698814, -0.05539231980178272, -0.08535919964317884, -0.21013533239930382, -0.2077032229246356, -0.3411827406213632]
[67, '2023-07-21', '16:33:21', '1689957201.807265', 0.000528748350647958, -0.03639108958556392, -0.1479468098331438, -0.18318326673482943, -0.27036734000931517, -0.30748920977727323]
[68, '2023-07-21', '17:03:41', '1689959021.091357', 0.0005288494547515947, -0.055519451196090586, -0.42618406112765683, -0.20233969706930566, -0.5461855966411377, -0.32666940915221687]
[69, '2023-07-21', '17:35:57', '1689960957.290172', 0.0005272832444474812, -0.07593580967423463, -0.12876761705997808, -0.6337809795303855, -0.24841376288790684, -0.7331185017722959]
[70, '2023-07-21', '18:06:33', '1689962793.399333', 0.0005251311559065902, 0.33252070196900263, -0.016574310808394443, -0.2230476418922649, -0.13818472596089748, -0.32197972143225684]
[71, '2023-07-21', '18:38:38', '1689964718.628356', 0.0005252176054460179, -0.029320350960588826, -0.0330395056212609, 0.07245797639569673, -0.15466994084732733, 0.1061787577654485]
[72, '2023-07-21', '19:09:52', '1689966592.027295', 0.0005277785837454878, -0.5170666033200888, -0.11410537651806862, -0.4147920014958544, -0.23156578130935657, -0.38090679648828996]
[73, '2023-07-21', '19:41:23', '1689968483.199283', 0.0005278795140813326, -0.03565765732379589, -0.13325081096662927, -0.10537344086745293, -0.250733678431601, -0.26532562298031337]
[74, '2023-07-21', '20:13:14', '1689970394.867314', 0.0005280432769315715, -0.06669148983004902, -0.17895667644684465, -0.13642890114124384, -0.30599792470067655, -0.29643070485249723]
[75, '2023-07-21', '20:44:07', '1689972247.897552', 0.0005277815082156429, -0.036304779512775553, -0.12929461654023555, -0.26068224987190547, -0.25627288619766375, -0.37135116205230645]
[76, '2023-07-21', '21:16:47', '1689974207.615352', 0.0005274687438534301, 0.022976931906541154, -0.05497467938434397, -0.20126757192133482, -0.2459638369813888, -0.311870901486202]
[77, '2023-07-22', '03:02:00', '1689994920.159291', 0.0005277064598966498, -0.03229590963597673, -0.1304699040737347, -0.21495641414726663, -0.25874802671417285, -0.33179602675896547]
[78, '2023-07-22', '03:40:35', '1689997235.79531', 0.0005276417522455184, -0.020029895483204996, -0.10368443694652285, -0.20266800206478308, -0.2568879821504453, -0.31949328774007313]
[79, '2023-07-22', '04:45:27', '1690001127.840619', 0.0005275442059975451, 0.05283757315460491, -0.09437119985140896, -0.18244356724505906, -0.2175524213486142, -0.3127390063361588]
[80, '2023-07-22', '05:08:10', '1690002490.833387', 0.0005277718349970509, -0.0334413625463128, -0.1375607208685068, -0.1946556692669219, -0.26079509358581277, -0.3560227504434721]
[81, '2023-07-22', '05:50:38', '1690005038.735326', 0.0005277785244357417, -0.03470927327713014, -0.09933287837969829, -0.19592562336792696, -0.2303705593200931, -0.3087288869511724]
[82, '2023-07-22', '06:11:26', '1690006286.563299', 0.0005279826103497006, -0.03235371504548823, -0.13804014457434732, -0.17347336199932784, -0.2691284962859868, -0.34751712418540137]
[83, '2023-07-22', '06:55:27', '1690008927.487357', 0.0005281966081044208, -0.07289804107966802, -0.10676051881827675, -0.21407488553775522, -0.24535249400419445, -0.31961226853790947]
[84, '2023-07-22', '07:14:37', '1690010077.406794', 0.0005283024241274787, -0.02919994474723353, -0.12681536036171792, -0.3225125228499195, -0.2654351003068598, -0.3397097516381393]
[85, '2023-07-22', '07:59:44', '1690012784.160336', 0.000528320760648431, -0.03267179616577209, -0.13217730233547798, -0.3259945546727181, -0.25346182083694657, -0.3267238399689347]
[86, '2023-07-22', '08:17:57', '1690013877.523914', 0.0005283464130742204, -0.12370743398818718, -0.13703918443191299, -0.2712161553514534, -0.25832959185984805, -0.33159516820299473]
[87, '2023-07-22', '09:03:50', '1690016630.75133', 0.0005281680456414344, -0.08990610930027287, -0.12988708961376005, -0.23736503236588646, -0.25214207289326396, -0.3280412595422888]
[88, '2023-07-22', '09:21:29', '1690017689.995264', 0.0005282097907697913, -0.04447123294065136, -0.13780111437047537, -0.20276576508433664, -0.26006576038896867, -0.3359709459266469]
