['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[76, '2023-07-21', '21:16:47', '1689974207.615352', 3.343866999999999e-05, -0.03695830532468847, -0.26297710141791697, -0.37955176195858087, -0.49489792783063535, -0.5780613513351653]
[77, '2023-07-22', '03:02:00', '1689994920.159291', 3.3375090000000004e-05, -0.058620552615423094, -0.24983693863566714, -0.3110330931652925, -0.48532096324986185, -0.52103022225252]
[78, '2023-07-22', '03:40:35', '1689997235.79531', 3.339988e-05, -0.1329410474365318, -0.2584550686599698, -0.38554107233115076, -0.4929111507967434, -0.5956941808878042]
[79, '2023-07-22', '04:45:27', '1690001127.840619', 3.3393e-05, -0.00600401392048866, -0.1999525114698173, -0.36456645566947543, -0.4211502393662272, -0.5858440899536106]
[80, '2023-07-22', '05:08:10', '1690002490.833387', 3.342501e-05, -0.10756026265173091, -0.29600259621489045, -0.3555392277900893, -0.5174123607438332, -0.682264084243414]
[81, '2023-07-22', '05:50:38', '1690005038.735326', 3.344497e-05, -0.1673402568190312, -0.27837595970682116, -0.41546730449034897, -0.49970189882095895, -0.6249317821320659]
[82, '2023-07-22', '06:11:26', '1690006286.563299', 3.3455690000000005e-05, -0.10743156570606516, -0.3105178390473782, -0.4129310959548036, -0.5319147189955942, -0.6571847418059775]
[83, '2023-07-22', '06:55:27', '1690008927.487357', 3.346027e-05, -0.12113602185598893, -0.3415257909452123, -0.4266773742237433, -0.545712937465197, -0.6443751950690881]
[84, '2023-07-22', '07:14:37', '1690010077.406794', 3.345058e-05, -0.11748770532177844, -0.3124671675415698, -0.6186953848547034, -0.5165951820387136, -0.6152288673305435]
[85, '2023-07-22', '07:59:44', '1690012784.160336', 3.337286e-05, 0.11512802643707687, -0.2365445803278874, -0.38491513335199556, -0.45172016914213486, -0.5663076984570097]
[86, '2023-07-22', '08:17:57', '1690013877.523914', 3.3373930000000005e-05, -0.13785892194549376, -0.23975836250603777, -0.3782513128134326, -0.4549408502759036, -0.5695320534939583]
[87, '2023-07-22', '09:03:50', '1690016630.75133', 3.3368790000000004e-05, -0.12243644713180402, -0.2493552042056848, -0.3627918145838862, -0.4547134445788714, -0.5661322698832123]
[88, '2023-07-22', '09:21:29', '1690017689.995264', 3.33691e-05, -0.08240990498626388, -0.25028653255509425, -0.3504730796846758, -0.4556466807305952, -0.5670665411289662]
[89, '2023-07-22', '10:07:30', '1690020450.804922', 3.341888e-05, -0.2317127739599698, -0.27524511911703087, -0.500175845114569, -0.5352800886928435, -0.6364310017387282]
[90, '2023-07-22', '10:24:57', '1690021497.44723', 3.344182e-05, -0.14140910279587615, -0.3440778903838151, -0.45877210572375304, -0.6042913579285027, -0.70551170483769]
[91, '2023-07-22', '11:28:00', '1690025280.319049', 3.343304e-05, -0.08316355218200044, -0.2867840736948324, -0.43239710522772157, -0.5219496696644228, -0.6677029962660441]
